Problem,exec_stackdepth,integer_min,in1,integer_stackdepth,float_dec,print_float,float_add,integer_shove,in2,integer_yank,float_inc,float_frominteger,integer_inc,exec_eq,integer_swap,integer_gte,string_pop,string_rot,string_parse_to_chars,integer_lt,integer_dup_items,integer_dup_times,string_yank,string_length,integer_eq,string_reverse,exec_s_when_autoconstructing,exec_yankdup,string_empty,boolean_or,boolean_empty,integer_rot,exec_do*range,string_stackdepth,exec_shove,boolean_xor,boolean_yankdup,exec_yank,exec_dup_times,string_replace,string_replacefirst,exec_y_when_autoconstructing,string_swap,integer_max,string_contains,exec_dup,exec_s,boolean_rot,boolean_stackdepth,boolean_dup,boolean_not,boolean_pop,string_butlast,boolean_swap,string_dup,integer_mod,exec_do*count,boolean_invert_first_then_and,integer_fromstring,string_split,string_eq,integer_dup,boolean_invert_second_then_and,integer_sub,boolean_yank,integer_gt,in3,integer_empty,boolean_eq,exec_k_when_autoconstructing,exec_empty,string_dup_times,exec_dup_items,integer_fromboolean,vector_integer_contains,vector_integer_stackdepth,boolean_and,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_concat,vector_integer_occurrencesof,exec_when,vector_integer_rot,boolean_frominteger,exec_noop,vector_integer_subvec,vector_integer_nth,vector_integer_empty,boolean_shove,vector_integer_butlast,vector_integer_pop,vector_integer_set,boolean_flush,exec_swap,exec_if,integer_add,vector_integer_length,vector_integer_rest,exec_do*while,integer_lte,vector_integer_dup,char_isletter,string_dup_items,char_dup,string_replacechar,string_containschar,char_eq,exec_string_iterate,print_char,exec_k,integer_div,print_integer,integer_yankdup,integer_dec,integer_mult,print_exec,boolean_dup_times,vector_integer_eq,vector_integer_swap,vector_integer_replacefirst,vector_integer_replace,vector_integer_conj,char_stackdepth,char_yank,char_frominteger,integer_pop,print_string,string_removechar,string_shove,string_concat,string_replacefirstchar,char_swap,char_rot,char_allfromstring,char_shove,exec_while,string_rest,vector_integer_last,char_dup_times,integer_fromchar,vector_string_reverse,exec_do*vector_string,print_newline,char_iswhitespace,string_setchar,string_conjchar,of,number,syllables,string_take,is,string_indexofchar,string_occurrencesofchar,vector_float_conj,vector_float_replacefirst,exec_do*vector_float,vector_float_subvec,vector_float_reverse,float_stackdepth,vector_float_rot,vector_float_pushall,float_mod,float_div,vector_float_length,boolean_dup_items,string_yankdup,char_empty,exec_y,char_dup_items,string_substring,exec_do*times
IO,0.5162500000000001,0.6125,1.0,0.5175000000000001,0.08375,0.125,0.12375,0.5275000000000001,0.375,0.5462499999999999,0.0875,0.125,0.5375000000000001,0.41000000000000003,0.54,0.4425,0.27625,0.27875,0.2675,0.43,0.43750000000000006,0.4375,0.2875,0.41,0.44500000000000006,0.33,0.3875,0.48375000000000007,0.32625000000000004,0.45125,0.43624999999999997,0.5037499999999999,0.45875000000000005,0.36124999999999996,0.44125000000000003,0.45,0.44375,0.44999999999999996,0.38125,0.28375,0.27625,0.38625000000000004,0.2875,0.5675,0.2775,0.46,0.4525,0.47125,0.49624999999999997,0.48624999999999996,0.45375,0.48375,0.28375,0.45625,0.30999999999999994,0.5437500000000001,0.45249999999999996,0.4600000000000001,0.3175,0.385,0.26875000000000004,0.55875,0.44375,0.5275,0.47500000000000003,0.44375000000000003,0.125,0.4525,0.4925,0.3775,0.44,0.245,0.38499999999999995,0.45875,0.05375,0.08375,0.46125,0.075,0.1025,0.06125,0.06375,0.055,0.475,0.06375,0.42499999999999993,0.46749999999999997,0.05125,0.06125,0.065,0.45125,0.05125,0.045,0.08,0.42500000000000004,0.4325,0.49999999999999994,0.52875,0.06,0.05625,0.49,0.42250000000000004,0.08875,0.3375,0.265,0.3225,0.3575,0.2775,0.3025,0.34375,0.27,0.39125,0.5225,0.6012500000000001,0.5225,0.50125,0.53125,0.17,0.4125,0.05625,0.07625,0.08125,0.09,0.075,0.30374999999999996,0.265,0.27999999999999997,0.485,0.4625,0.30875,0.31625,0.3,0.3,0.27375000000000005,0.27875,0.27125,0.2925,0.43499999999999994,0.27375000000000005,0.0575,0.2875,0.24,0.09375,0.11875,0.26,0.27,0.29375,0.3075,0.125,0.125,0.125,0.31375,0.125,0.265,0.31,0.0,0.0,0.0,0.0,0.0,0.05625,0.0,0.0,0.0475,0.05125,0.0,0.37875000000000003,0.305,0.28250000000000003,0.325,0.27749999999999997,0.31625,0.43625
Problem,exec_stackdepth,integer_min,in1,integer_stackdepth,float_dec,print_float,float_add,integer_shove,in2,integer_yank,float_inc,float_frominteger,integer_inc,exec_eq,integer_swap,integer_gte,string_pop,string_rot,string_parse_to_chars,integer_lt,integer_dup_items,integer_dup_times,string_yank,string_length,integer_eq,string_reverse,exec_s_when_autoconstructing,exec_yankdup,string_empty,boolean_or,boolean_empty,integer_rot,exec_do*range,string_stackdepth,exec_shove,boolean_xor,boolean_yankdup,exec_yank,exec_dup_times,string_replace,string_replacefirst,exec_y_when_autoconstructing,string_swap,integer_max,string_contains,exec_dup,exec_s,boolean_rot,boolean_stackdepth,boolean_dup,boolean_not,boolean_pop,string_butlast,boolean_swap,string_dup,integer_mod,exec_do*count,boolean_invert_first_then_and,integer_fromstring,string_split,string_eq,integer_dup,boolean_invert_second_then_and,integer_sub,boolean_yank,integer_gt,in3,integer_empty,boolean_eq,exec_k_when_autoconstructing,exec_empty,string_dup_times,exec_dup_items,integer_fromboolean,vector_integer_contains,vector_integer_stackdepth,boolean_and,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_concat,vector_integer_occurrencesof,exec_when,vector_integer_rot,boolean_frominteger,exec_noop,vector_integer_subvec,vector_integer_nth,vector_integer_empty,boolean_shove,vector_integer_butlast,vector_integer_pop,vector_integer_set,boolean_flush,exec_swap,exec_if,integer_add,vector_integer_length,vector_integer_rest,exec_do*while,integer_lte,vector_integer_dup,char_isletter,string_dup_items,char_dup,string_replacechar,string_containschar,char_eq,exec_string_iterate,print_char,exec_k,integer_div,print_integer,integer_yankdup,integer_dec,integer_mult,print_exec,boolean_dup_times,vector_integer_eq,vector_integer_swap,vector_integer_replacefirst,vector_integer_replace,vector_integer_conj,char_stackdepth,char_yank,char_frominteger,integer_pop,print_string,string_removechar,string_shove,string_concat,string_replacefirstchar,char_swap,char_rot,char_allfromstring,char_shove,exec_while,string_rest,vector_integer_last,char_dup_times,integer_fromchar,vector_string_reverse,exec_do*vector_string,print_newline,char_iswhitespace,string_setchar,string_conjchar,of,number,syllables,string_take,is,string_indexofchar,string_occurrencesofchar,vector_float_conj,vector_float_replacefirst,exec_do*vector_float,vector_float_subvec,vector_float_reverse,float_stackdepth,vector_float_rot,vector_float_pushall,float_mod,float_div,vector_float_length,boolean_dup_items,string_yankdup,char_empty,exec_y,char_dup_items,string_substring,exec_do*times
Arithmetic,0.54,0.5266666666666666,1.0,0.56,0.20166666666666666,0.16666666666666666,0.33166666666666667,0.5683333333333334,0.16666666666666666,0.5733333333333333,0.22166666666666668,0.33,0.5900000000000001,0.4083333333333334,0.49166666666666664,0.3416666666666666,0.2683333333333333,0.2866666666666667,0.2783333333333333,0.33499999999999996,0.37166666666666665,0.4216666666666667,0.26833333333333337,0.30666666666666664,0.2866666666666667,0.2933333333333334,0.35333333333333333,0.41333333333333333,0.26,0.31166666666666665,0.32499999999999996,0.505,0.3516666666666666,0.3116666666666667,0.39833333333333326,0.285,0.2683333333333333,0.42500000000000004,0.34,0.2683333333333333,0.27499999999999997,0.36166666666666664,0.28,0.5083333333333333,0.25333333333333335,0.405,0.43166666666666664,0.39833333333333326,0.3566666666666667,0.3133333333333333,0.3283333333333333,0.33499999999999996,0.2783333333333333,0.32,0.2866666666666667,0.64,0.38833333333333336,0.3633333333333333,0.2683333333333333,0.31666666666666665,0.26166666666666666,0.45999999999999996,0.30666666666666664,0.49333333333333335,0.295,0.3316666666666666,0.0,0.2783333333333333,0.38166666666666665,0.3383333333333334,0.25666666666666665,0.24833333333333332,0.33166666666666667,0.30833333333333335,0.14666666666666667,0.14166666666666666,0.3766666666666667,0.25666666666666665,0.2383333333333333,0.18833333333333332,0.18833333333333332,0.24333333333333332,0.3383333333333333,0.16,0.345,0.5,0.15166666666666664,0.245,0.21999999999999997,0.33499999999999996,0.215,0.14166666666666666,0.14166666666666666,0.395,0.405,0.34333333333333327,0.6566666666666666,0.17833333333333332,0.16,0.355,0.3466666666666667,0.165,0.29,0.22,0.2733333333333334,0.33666666666666667,0.2783333333333333,0.24833333333333332,0.395,0.11,0.33166666666666667,0.505,0.3233333333333333,0.5116666666666667,0.4966666666666666,0.49166666666666664,0.04,0.2683333333333333,0.07166666666666667,0.11833333333333333,0.085,0.13166666666666668,0.12666666666666668,0.35833333333333334,0.26666666666666666,0.27,0.49833333333333335,0.3283333333333333,0.30333333333333334,0.2816666666666667,0.2866666666666667,0.3016666666666667,0.29833333333333334,0.2583333333333333,0.315,0.27,0.24833333333333332,0.28833333333333333,0.11333333333333334,0.28,0.3416666666666666,0.0,0.0,0.075,0.26333333333333336,0.25666666666666665,0.3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2816666666666667,0.16666666666666666,0.25833333333333336,0.3,0.10166666666666667,0.09999999999999999,0.13999999999999999,0.10333333333333333,0.10833333333333334,0.19833333333333333,0.10333333333333333,0.12666666666666668,0.165,0.235,0.12,0.245,0.25666666666666665,0.2766666666666666,0.26666666666666666,0.25,0.23833333333333337,0.36166666666666664
Problem,exec_stackdepth,integer_min,in1,integer_stackdepth,float_dec,print_float,float_add,integer_shove,in2,integer_yank,float_inc,float_frominteger,integer_inc,exec_eq,integer_swap,integer_gte,string_pop,string_rot,string_parse_to_chars,integer_lt,integer_dup_items,integer_dup_times,string_yank,string_length,integer_eq,string_reverse,exec_s_when_autoconstructing,exec_yankdup,string_empty,boolean_or,boolean_empty,integer_rot,exec_do*range,string_stackdepth,exec_shove,boolean_xor,boolean_yankdup,exec_yank,exec_dup_times,string_replace,string_replacefirst,exec_y_when_autoconstructing,string_swap,integer_max,string_contains,exec_dup,exec_s,boolean_rot,boolean_stackdepth,boolean_dup,boolean_not,boolean_pop,string_butlast,boolean_swap,string_dup,integer_mod,exec_do*count,boolean_invert_first_then_and,integer_fromstring,string_split,string_eq,integer_dup,boolean_invert_second_then_and,integer_sub,boolean_yank,integer_gt,in3,integer_empty,boolean_eq,exec_k_when_autoconstructing,exec_empty,string_dup_times,exec_dup_items,integer_fromboolean,vector_integer_contains,vector_integer_stackdepth,boolean_and,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_concat,vector_integer_occurrencesof,exec_when,vector_integer_rot,boolean_frominteger,exec_noop,vector_integer_subvec,vector_integer_nth,vector_integer_empty,boolean_shove,vector_integer_butlast,vector_integer_pop,vector_integer_set,boolean_flush,exec_swap,exec_if,integer_add,vector_integer_length,vector_integer_rest,exec_do*while,integer_lte,vector_integer_dup,char_isletter,string_dup_items,char_dup,string_replacechar,string_containschar,char_eq,exec_string_iterate,print_char,exec_k,integer_div,print_integer,integer_yankdup,integer_dec,integer_mult,print_exec,boolean_dup_times,vector_integer_eq,vector_integer_swap,vector_integer_replacefirst,vector_integer_replace,vector_integer_conj,char_stackdepth,char_yank,char_frominteger,integer_pop,print_string,string_removechar,string_shove,string_concat,string_replacefirstchar,char_swap,char_rot,char_allfromstring,char_shove,exec_while,string_rest,vector_integer_last,char_dup_times,integer_fromchar,vector_string_reverse,exec_do*vector_string,print_newline,char_iswhitespace,string_setchar,string_conjchar,of,number,syllables,string_take,is,string_indexofchar,string_occurrencesofchar,vector_float_conj,vector_float_replacefirst,exec_do*vector_float,vector_float_subvec,vector_float_reverse,float_stackdepth,vector_float_rot,vector_float_pushall,float_mod,float_div,vector_float_length,boolean_dup_items,string_yankdup,char_empty,exec_y,char_dup_items,string_substring,exec_do*times
Comparison,0.6616666666666667,0.6566666666666667,1.0,0.6383333333333333,0.0,0.0,0.0,0.535,0.4916666666666667,0.5466666666666665,0.0,0.0,0.5233333333333333,0.5083333333333334,0.565,0.5383333333333333,0.16833333333333333,0.18833333333333332,0.17833333333333334,0.5349999999999999,0.505,0.4983333333333333,0.17833333333333334,0.22833333333333336,0.5083333333333332,0.19000000000000003,0.535,0.595,0.18499999999999997,0.5416666666666666,0.52,0.5366666666666666,0.5516666666666666,0.22166666666666668,0.5416666666666666,0.5650000000000001,0.5299999999999999,0.555,0.47500000000000003,0.19499999999999998,0.16833333333333333,0.525,0.18333333333333335,0.6116666666666667,0.19499999999999998,0.5916666666666667,0.555,0.5716666666666667,0.5866666666666667,0.595,0.56,0.5733333333333334,0.17500000000000002,0.5566666666666668,0.18000000000000002,0.625,0.5416666666666666,0.5666666666666668,0.20333333333333337,0.21333333333333335,0.16666666666666666,0.5983333333333333,0.5283333333333333,0.57,0.5833333333333334,0.5366666666666666,0.33166666666666667,0.5566666666666668,0.585,0.5333333333333333,0.5166666666666666,0.17500000000000002,0.5333333333333333,0.545,0.2633333333333333,0.2833333333333334,0.5449999999999999,0.3133333333333333,0.37166666666666665,0.35333333333333333,0.24,0.24333333333333332,0.56,0.26833333333333337,0.5516666666666667,0.5616666666666666,0.235,0.26833333333333337,0.26166666666666666,0.555,0.24333333333333332,0.21999999999999997,0.28833333333333333,0.5033333333333333,0.5366666666666666,0.5583333333333332,0.5233333333333333,0.26,0.24166666666666667,0.5916666666666667,0.5066666666666667,0.29333333333333333,0.16666666666666666,0.18499999999999997,0.145,0.09833333333333333,0.10166666666666667,0.13333333333333333,0.16,0.155,0.455,0.5316666666666666,0.2316666666666667,0.5616666666666666,0.535,0.5499999999999999,0.15833333333333335,0.5233333333333333,0.33,0.27666666666666667,0.2833333333333334,0.29,0.285,0.07166666666666667,0.07333333333333333,0.07333333333333333,0.4816666666666667,0.08,0.07166666666666667,0.17500000000000002,0.18166666666666664,0.09000000000000001,0.06833333333333333,0.07166666666666667,0.08333333333333333,0.08666666666666667,0.4816666666666667,0.17833333333333334,0.25333333333333335,0.09000000000000001,0.055,0.0,0.0,0.06,0.06833333333333333,0.09000000000000001,0.06166666666666667,0.0,0.0,0.0,0.18833333333333332,0.0,0.07333333333333333,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.16666666666666666,0.06833333333333333,0.34833333333333333,0.07166666666666667,0.18499999999999997,0.5383333333333334
Problem,exec_stackdepth,integer_min,in1,integer_stackdepth,float_dec,print_float,float_add,integer_shove,in2,integer_yank,float_inc,float_frominteger,integer_inc,exec_eq,integer_swap,integer_gte,string_pop,string_rot,string_parse_to_chars,integer_lt,integer_dup_items,integer_dup_times,string_yank,string_length,integer_eq,string_reverse,exec_s_when_autoconstructing,exec_yankdup,string_empty,boolean_or,boolean_empty,integer_rot,exec_do*range,string_stackdepth,exec_shove,boolean_xor,boolean_yankdup,exec_yank,exec_dup_times,string_replace,string_replacefirst,exec_y_when_autoconstructing,string_swap,integer_max,string_contains,exec_dup,exec_s,boolean_rot,boolean_stackdepth,boolean_dup,boolean_not,boolean_pop,string_butlast,boolean_swap,string_dup,integer_mod,exec_do*count,boolean_invert_first_then_and,integer_fromstring,string_split,string_eq,integer_dup,boolean_invert_second_then_and,integer_sub,boolean_yank,integer_gt,in3,integer_empty,boolean_eq,exec_k_when_autoconstructing,exec_empty,string_dup_times,exec_dup_items,integer_fromboolean,vector_integer_contains,vector_integer_stackdepth,boolean_and,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_concat,vector_integer_occurrencesof,exec_when,vector_integer_rot,boolean_frominteger,exec_noop,vector_integer_subvec,vector_integer_nth,vector_integer_empty,boolean_shove,vector_integer_butlast,vector_integer_pop,vector_integer_set,boolean_flush,exec_swap,exec_if,integer_add,vector_integer_length,vector_integer_rest,exec_do*while,integer_lte,vector_integer_dup,char_isletter,string_dup_items,char_dup,string_replacechar,string_containschar,char_eq,exec_string_iterate,print_char,exec_k,integer_div,print_integer,integer_yankdup,integer_dec,integer_mult,print_exec,boolean_dup_times,vector_integer_eq,vector_integer_swap,vector_integer_replacefirst,vector_integer_replace,vector_integer_conj,char_stackdepth,char_yank,char_frominteger,integer_pop,print_string,string_removechar,string_shove,string_concat,string_replacefirstchar,char_swap,char_rot,char_allfromstring,char_shove,exec_while,string_rest,vector_integer_last,char_dup_times,integer_fromchar,vector_string_reverse,exec_do*vector_string,print_newline,char_iswhitespace,string_setchar,string_conjchar,of,number,syllables,string_take,is,string_indexofchar,string_occurrencesofchar,vector_float_conj,vector_float_replacefirst,exec_do*vector_float,vector_float_subvec,vector_float_reverse,float_stackdepth,vector_float_rot,vector_float_pushall,float_mod,float_div,vector_float_length,boolean_dup_items,string_yankdup,char_empty,exec_y,char_dup_items,string_substring,exec_do*times
Boolean,0.64,0.585,1.0,0.5549999999999999,0.0,0.0,0.0,0.595,0.975,0.58,0.0,0.0,0.56,0.56,0.585,0.6100000000000001,0.3,0.35,0.315,0.655,0.575,0.575,0.315,0.5,0.5700000000000001,0.32,0.5700000000000001,0.6399999999999999,0.315,0.565,0.6000000000000001,0.615,0.5700000000000001,0.36,0.625,0.6000000000000001,0.595,0.675,0.5800000000000001,0.315,0.31,0.5700000000000001,0.33,0.61,0.345,0.6499999999999999,0.595,0.625,0.5900000000000001,0.62,0.63,0.585,0.305,0.5900000000000001,0.3,0.605,0.615,0.5800000000000001,0.33,0.36,0.315,0.5900000000000001,0.595,0.605,0.5900000000000001,0.655,0.495,0.605,0.615,0.585,0.56,0.31,0.65,0.5800000000000001,0.32,0.27,0.53,0.305,0.29,0.49,0.22,0.26,0.525,0.27,0.5549999999999999,0.535,0.25,0.275,0.275,0.585,0.245,0.225,0.265,0.51,0.5449999999999999,0.475,0.55,0.225,0.22,0.5549999999999999,0.565,0.28,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.5349999999999999,0.0,0.5700000000000001,0.5700000000000001,0.525,0.0,0.56,0.49,0.26,0.275,0.265,0.29,0.0,0.0,0.0,0.55,0.0,0.0,0.295,0.295,0.0,0.0,0.0,0.0,0.0,0.41,0.265,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.295,0.0,0.29000000000000004,0.0,0.295,0.56
Problem,exec_stackdepth,integer_min,in1,integer_stackdepth,float_dec,print_float,float_add,integer_shove,in2,integer_yank,float_inc,float_frominteger,integer_inc,exec_eq,integer_swap,integer_gte,string_pop,string_rot,string_parse_to_chars,integer_lt,integer_dup_items,integer_dup_times,string_yank,string_length,integer_eq,string_reverse,exec_s_when_autoconstructing,exec_yankdup,string_empty,boolean_or,boolean_empty,integer_rot,exec_do*range,string_stackdepth,exec_shove,boolean_xor,boolean_yankdup,exec_yank,exec_dup_times,string_replace,string_replacefirst,exec_y_when_autoconstructing,string_swap,integer_max,string_contains,exec_dup,exec_s,boolean_rot,boolean_stackdepth,boolean_dup,boolean_not,boolean_pop,string_butlast,boolean_swap,string_dup,integer_mod,exec_do*count,boolean_invert_first_then_and,integer_fromstring,string_split,string_eq,integer_dup,boolean_invert_second_then_and,integer_sub,boolean_yank,integer_gt,in3,integer_empty,boolean_eq,exec_k_when_autoconstructing,exec_empty,string_dup_times,exec_dup_items,integer_fromboolean,vector_integer_contains,vector_integer_stackdepth,boolean_and,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_concat,vector_integer_occurrencesof,exec_when,vector_integer_rot,boolean_frominteger,exec_noop,vector_integer_subvec,vector_integer_nth,vector_integer_empty,boolean_shove,vector_integer_butlast,vector_integer_pop,vector_integer_set,boolean_flush,exec_swap,exec_if,integer_add,vector_integer_length,vector_integer_rest,exec_do*while,integer_lte,vector_integer_dup,char_isletter,string_dup_items,char_dup,string_replacechar,string_containschar,char_eq,exec_string_iterate,print_char,exec_k,integer_div,print_integer,integer_yankdup,integer_dec,integer_mult,print_exec,boolean_dup_times,vector_integer_eq,vector_integer_swap,vector_integer_replacefirst,vector_integer_replace,vector_integer_conj,char_stackdepth,char_yank,char_frominteger,integer_pop,print_string,string_removechar,string_shove,string_concat,string_replacefirstchar,char_swap,char_rot,char_allfromstring,char_shove,exec_while,string_rest,vector_integer_last,char_dup_times,integer_fromchar,vector_string_reverse,exec_do*vector_string,print_newline,char_iswhitespace,string_setchar,string_conjchar,of,number,syllables,string_take,is,string_indexofchar,string_occurrencesofchar,vector_float_conj,vector_float_replacefirst,exec_do*vector_float,vector_float_subvec,vector_float_reverse,float_stackdepth,vector_float_rot,vector_float_pushall,float_mod,float_div,vector_float_length,boolean_dup_items,string_yankdup,char_empty,exec_y,char_dup_items,string_substring,exec_do*times
String Handling,0.5671428571428572,0.527142857142857,1.0,0.5028571428571429,0.0,0.0,0.0,0.5171428571428571,0.2785714285714286,0.5214285714285715,0.0,0.0,0.5328571428571428,0.47714285714285726,0.49571428571428583,0.49571428571428566,0.4828571428571428,0.4914285714285715,0.48,0.49714285714285716,0.4342857142857143,0.45428571428571424,0.4914285714285715,0.6728571428571428,0.5171428571428571,0.5457142857142858,0.4571428571428572,0.5271428571428571,0.5285714285714286,0.49857142857142855,0.48,0.47857142857142865,0.4885714285714286,0.6042857142857143,0.4942857142857143,0.51,0.5,0.49999999999999994,0.4642857142857143,0.4757142857142857,0.4700000000000001,0.4614285714285714,0.5,0.52,0.4771428571428572,0.5199999999999999,0.5471428571428572,0.52,0.5499999999999999,0.5271428571428571,0.5128571428571428,0.5214285714285715,0.4842857142857143,0.5199999999999999,0.5128571428571428,0.5242857142857144,0.5114285714285713,0.5171428571428571,0.5185714285714286,0.6242857142857142,0.4671428571428571,0.5285714285714286,0.5042857142857143,0.5314285714285714,0.5457142857142857,0.49857142857142855,0.14142857142857143,0.4928571428571429,0.5528571428571428,0.4514285714285714,0.4885714285714285,0.4385714285714286,0.4585714285714286,0.5,0.054285714285714284,0.049999999999999996,0.5057142857142857,0.07714285714285715,0.06142857142857143,0.054285714285714284,0.054285714285714284,0.06571428571428571,0.5028571428571428,0.06571428571428571,0.4828571428571428,0.51,0.058571428571428566,0.13857142857142857,0.08142857142857142,0.49999999999999994,0.07714285714285715,0.049999999999999996,0.049999999999999996,0.46142857142857147,0.4742857142857143,0.527142857142857,0.5857142857142857,0.08142857142857142,0.06571428571428571,0.5285714285714286,0.47428571428571425,0.06999999999999999,0.47000000000000003,0.41999999999999993,0.4342857142857143,0.4542857142857143,0.39,0.4042857142857143,0.5357142857142857,0.3085714285714286,0.3985714285714286,0.49999999999999994,0.48428571428571426,0.5171428571428571,0.5028571428571428,0.5114285714285715,0.0642857142857143,0.4514285714285714,0.06142857142857143,0.06571428571428571,0.07285714285714286,0.07714285714285715,0.07285714285714286,0.4585714285714286,0.3685714285714286,0.3814285714285714,0.48,0.5285714285714286,0.40285714285714286,0.5185714285714286,0.4928571428571428,0.42428571428571427,0.39000000000000007,0.36428571428571427,0.40285714285714286,0.39571428571428574,0.4571428571428572,0.4728571428571429,0.09714285714285716,0.42142857142857143,0.41714285714285715,0.10714285714285714,0.1357142857142857,0.2514285714285714,0.37,0.38571428571428573,0.43285714285714283,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5128571428571428,0.14285714285714285,0.35714285714285715,0.3971428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4557142857142858,0.4942857142857142,0.39285714285714285,0.31142857142857144,0.38285714285714284,0.48857142857142855,0.4757142857142857
