Gen 0
string_rot,integer_swap,exec_sho,string_frominteg,string_parse_to_cha,vector_string_fir,integer_gte,boolean_shove,boolean_and,vector_string_replacefirst,vector_string_sho,string_pop,exec_eq,string_parse_to_chars,integer_lt,string_stackdepth,exec_do*whi,boolean_rot,boolean_sw,integer_sho,boolean_invert_second_then_a,vector_string_s,vector_string_take,vector_string_remo,vector_string_last,string_yank,string_concat,string_re,exec_yankd,string_length,integer_eq,vector_string_,print_integ,vector_string_pop,exec_yankdup,string_repla,vector_string_stackdepth,exec_,integer_g,vector_string_rot,integer_mu,print_vector_stri,boolean_yankd,vector_string_re,string_empty,vector_string_concat,vector_string_yank,exec_flush,vector_string_conj,string_emptystri,vector_string_indexof,boolean_or,boolean_empty,vector_string_p,exec_wh,vector_string_shove,integer_yankd,exec_do*while,integer_rot,string_rest,vector_string_emptyvect,vector_string_butla,vector_string_butlast,boolean_,exec_stackdepth,exec_do*range,integer_emp,vector_string_reverse,vector_string_stackdep,boolean_sho,string_stackdep,vector_string_conc,vector_string_yankd,string_leng,exec_d,vector_string_rest,vector_string_replacefir,exec_shove,boolean_xor,boolean_yankdup,integer_min,string_emp,vector_string_emptyvector,exec_yank,print_integer,vector_string_empty,integer_fromboole,string_replace,integer_div,string_replacefirst,boolean_frominteger,string_butla,integer_flush,integer_,string_yankdup,print_exec,integer_yank,integer_fromstri,vector_string_eq,boolean_ya,string_swap,exec_when,exec_do*vector_string,vector_string_flu,integer_max,print_ex,vector_string_emp,string_contains,exec_dup,exec_k,vector_string_index,exec_noop,exec_p,exec_r,exec_s,string_emptystring,vector_string_la,exec_y,vector_string_pusha,vector_string_ya,vector_string_swap,boolean_a,integer_ya,exec_ya,string_spl,boolean_stackdep,integer_yankdup,vector_string_yankdup,string_fromboolean,boolean_d,print_newli,string_ta,vector_string_replace,vector_string_contai,exec_emp,string_substring,boolean_stackdepth,vector_string_occurrencesof,vector_string_nth,string_shove,exec_do*ran,vector_string_contains,vector_string_sw,integer_sw,exec_do*times,integer_shove,string_flush,exec_whi,exec_sw,vector_string_set,vector_string_subv,vector_string_length,exec_stackdep,integer_pop,boolean_not,boolean_flush,boolean_pop,string_butlast,exec_swap,string_replacefir,boolean_swap,vector_string_rever,integer_add,vector_string_remove,print_vector_string,print_newline,vector_string_first,boolean_r,string_d,string_dup,string_frominteger,string_contai,integer_mod,exec_do*count,string_r,string_p,vector_string_flush,integer_inc,boolean_invert_first_then_and,integer_fromstring,exec_rot,integer_m,print_stri,vector_string_pushall,exec_do*cou,string_take,string_split,string_eq,boolean_n,boolean_p,vector_string_subvec,exec_pop,boolean_emp,vector_string_n,exec_do*tim,print_string,boolean_invert_second_then_and,vector_string_d,integer_sub,exec_no,vector_string_leng,boolean_yank,vector_string_dup,vector_string_occurrences,string_reverse,string_ya,string_flu,integer_stackdepth,vector_string_ta,integer_dec,print_boole,integer_gt,exec,in1,integer_mult,boolean_dup,boolean_frominteg,string_sho,integer_lte,integer_a,exec_flu,boolean_eq,exec_if,print_boolean,integer_d,integer_flu,string_rever,exec_do*vector_stri,exec_empty,integer_l,integer_dup,integer_i,string_substri,integer_r,integer_s,integer_p,exec_while,integer_fromboolean,integer_empty,string_fromboole,boolean_flu
0.047952047952,0.0549450549451,0.001998001998,0.001998001998,0.000999000999001,0.003996003996,0.0709290709291,0.0699300699301,0.0669330669331,0.0579420579421,0.002997002997,0.047952047952,0.0529470529471,0.0609390609391,0.0609390609391,0.0609390609391,0.000999000999001,0.0519480519481,0.002997002997,0.002997002997,0.004995004995,0.001998001998,0.0609390609391,0.002997002997,0.046953046953,0.046953046953,0.0589410589411,0.002997002997,0.002997002997,0.0689310689311,0.048951048951,0.001998001998,0.003996003996,0.0569430569431,0.0569430569431,0.001998001998,0.0529470529471,0.00799200799201,0.000999000999001,0.0629370629371,0.001998001998,0.000999000999001,0.002997002997,0.001998001998,0.0559440559441,0.0669330669331,0.048951048951,0.0509490509491,0.0579420579421,0.00599400599401,0.042957042957,0.0559440559441,0.0649350649351,0.001998001998,0.000999000999001,0.0649350649351,0.004995004995,0.042957042957,0.0659340659341,0.0619380619381,0.00599400599401,0.000999000999001,0.0579420579421,0.00599400599401,0.0569430569431,0.0529470529471,0.000999000999001,0.0699300699301,0.003996003996,0.002997002997,0.002997002997,0.00799200799201,0.003996003996,0.002997002997,0.001998001998,0.0529470529471,0.001998001998,0.047952047952,0.0539460539461,0.0509490509491,0.0549450549451,0.002997002997,0.0569430569431,0.0549450549451,0.0569430569431,0.0659340659341,0.003996003996,0.0539460539461,0.0539460539461,0.0519480519481,0.0579420579421,0.000999000999001,0.044955044955,0.00799200799201,0.0559440559441,0.0609390609391,0.0589410589411,0.00899100899101,0.0579420579421,0.001998001998,0.0609390609391,0.0609390609391,0.047952047952,0.003996003996,0.0559440559441,0.003996003996,0.003996003996,0.0639360639361,0.045954045954,0.043956043956,0.002997002997,0.0589410589411,0.001998001998,0.000999000999001,0.0629370629371,0.0529470529471,0.002997002997,0.0599400599401,0.003996003996,0.004995004995,0.0519480519481,0.001998001998,0.001998001998,0.002997002997,0.000999000999001,0.000999000999001,0.0539460539461,0.0529470529471,0.0679320679321,0.001998001998,0.002997002997,0.002997002997,0.0569430569431,0.003996003996,0.003996003996,0.0559440559441,0.0599400599401,0.04995004995,0.0689310689311,0.048951048951,0.002997002997,0.0539460539461,0.003996003996,0.000999000999001,0.043956043956,0.0569430569431,0.0579420579421,0.004995004995,0.003996003996,0.0519480519481,0.002997002997,0.047952047952,0.002997002997,0.0539460539461,0.0679320679321,0.0519480519481,0.0559440559441,0.0519480519481,0.0529470529471,0.004995004995,0.0529470529471,0.003996003996,0.0569430569431,0.0519480519481,0.0529470529471,0.0519480519481,0.0609390609391,0.000999000999001,0.004995004995,0.0589410589411,0.04995004995,0.001998001998,0.0559440559441,0.0549450549451,0.001998001998,0.001998001998,0.0569430569431,0.0539460539461,0.0539460539461,0.0599400599401,0.0739260739261,0.00799200799201,0.001998001998,0.0579420579421,0.002997002997,0.045954045954,0.047952047952,0.0689310689311,0.000999000999001,0.000999000999001,0.0609390609391,0.0539460539461,0.002997002997,0.003996003996,0.000999000999001,0.0589410589411,0.047952047952,0.001998001998,0.0639360639361,0.002997002997,0.002997002997,0.0609390609391,0.0669330669331,0.001998001998,0.0549450549451,0.000999000999001,0.002997002997,0.0559440559441,0.000999000999001,0.0579420579421,0.000999000999001,0.041958041958,0.004995004995,0.04995004995,0.0579420579421,0.043956043956,0.000999000999001,0.001998001998,0.043956043956,0.003996003996,0.000999000999001,0.0589410589411,0.0619380619381,0.0599400599401,0.00899100899101,0.001998001998,0.002997002997,0.000999000999001,0.0509490509491,0.002997002997,0.0599400599401,0.000999000999001,0.00599400599401,0.002997002997,0.002997002997,0.003996003996,0.0609390609391,0.0649350649351,0.0639360639361,0.004995004995,0.000999000999001
Gen 1
string_rot,integer_swap,exec_sho,string_frominteg,string_parse_to_cha,vector_string_fir,integer_gte,boolean_shove,boolean_and,vector_string_replacefirst,vector_string_sho,string_pop,exec_eq,string_parse_to_chars,integer_lt,string_stackdepth,exec_do*whi,boolean_rot,boolean_sw,integer_sho,boolean_invert_second_then_a,vector_string_s,vector_string_take,vector_string_remo,vector_string_last,string_yank,string_concat,string_re,exec_yankd,string_length,integer_eq,vector_string_,print_integ,vector_string_pop,exec_yankdup,string_repla,vector_string_stackdepth,exec_,integer_g,vector_string_rot,integer_mu,print_vector_stri,boolean_yankd,vector_string_re,string_empty,vector_string_concat,vector_string_yank,exec_flush,vector_string_conj,string_emptystri,vector_string_indexof,boolean_or,boolean_empty,vector_string_p,exec_wh,vector_string_shove,integer_yankd,exec_do*while,integer_rot,string_rest,vector_string_emptyvect,vector_string_butla,vector_string_butlast,boolean_,exec_stackdepth,exec_do*range,integer_emp,vector_string_reverse,vector_string_stackdep,boolean_sho,string_stackdep,vector_string_conc,vector_string_yankd,string_leng,exec_d,vector_string_rest,vector_string_replacefir,exec_shove,boolean_xor,boolean_yankdup,integer_min,string_emp,vector_string_emptyvector,exec_yank,print_integer,vector_string_empty,integer_fromboole,string_replace,integer_div,string_replacefirst,boolean_frominteger,string_butla,integer_flush,integer_,string_yankdup,print_exec,integer_yank,integer_fromstri,vector_string_eq,boolean_ya,string_swap,exec_when,exec_do*vector_string,vector_string_flu,integer_max,print_ex,vector_string_emp,string_contains,exec_dup,exec_k,vector_string_index,exec_noop,exec_p,exec_r,exec_s,string_emptystring,vector_string_la,exec_y,vector_string_pusha,vector_string_ya,vector_string_swap,boolean_a,integer_ya,exec_ya,string_spl,boolean_stackdep,integer_yankdup,vector_string_yankdup,string_fromboolean,boolean_d,print_newli,string_ta,vector_string_replace,vector_string_contai,exec_emp,string_substring,boolean_stackdepth,vector_string_occurrencesof,vector_string_nth,string_shove,exec_do*ran,vector_string_contains,vector_string_sw,integer_sw,exec_do*times,integer_shove,string_flush,exec_whi,exec_sw,vector_string_set,vector_string_subv,vector_string_length,exec_stackdep,integer_pop,boolean_not,boolean_flush,boolean_pop,string_butlast,exec_swap,string_replacefir,boolean_swap,vector_string_rever,integer_add,vector_string_remove,print_vector_string,print_newline,vector_string_first,boolean_r,string_d,string_dup,string_frominteger,string_contai,integer_mod,exec_do*count,string_r,string_p,vector_string_flush,integer_inc,boolean_invert_first_then_and,integer_fromstring,exec_rot,integer_m,print_stri,vector_string_pushall,exec_do*cou,string_take,string_split,string_eq,boolean_n,boolean_p,vector_string_subvec,exec_pop,boolean_emp,vector_string_n,exec_do*tim,print_string,boolean_invert_second_then_and,vector_string_d,integer_sub,exec_no,vector_string_leng,boolean_yank,vector_string_dup,vector_string_occurrences,string_reverse,string_ya,string_flu,integer_stackdepth,vector_string_ta,integer_dec,print_boole,integer_gt,exec,in1,integer_mult,boolean_dup,boolean_frominteg,string_sho,integer_lte,integer_a,exec_flu,boolean_eq,exec_if,print_boolean,integer_d,integer_flu,string_rever,exec_do*vector_stri,exec_empty,integer_l,integer_dup,integer_i,string_substri,integer_r,integer_s,integer_p,exec_while,integer_fromboolean,integer_empty,string_fromboole,boolean_flu
0.0,0.00199900049975,0.000499750124938,0.0,0.000499750124938,0.0,0.0,0.00549725137431,0.00649675162419,0.000999500249875,0.0,0.00299850074963,0.000999500249875,0.00699650174913,0.00349825087456,0.00299850074963,0.0,0.0,0.0,0.0,0.0,0.0,0.00499750124938,0.0,0.0,0.00199900049975,0.00299850074963,0.0,0.000499750124938,0.00649675162419,0.007996001999,0.0,0.0,0.007996001999,0.0039980009995,0.0,0.00249875062469,0.0,0.0,0.00449775112444,0.0,0.0,0.000499750124938,0.0,0.000499750124938,0.00199900049975,0.0039980009995,0.0,0.00349825087456,0.0,0.00649675162419,0.0,0.00749625187406,0.0,0.0,0.0,0.0,0.0,0.0,0.0039980009995,0.00599700149925,0.0,0.00249875062469,0.00249875062469,0.00699650174913,0.000999500249875,0.000999500249875,0.00549725137431,0.0,0.0,0.0,0.0,0.000499750124938,0.0039980009995,0.0,0.0,0.0,0.00899550224888,0.00299850074963,0.007996001999,0.00299850074963,0.000499750124938,0.0,0.000499750124938,0.00499750124938,0.00149925037481,0.0,0.00349825087456,0.00249875062469,0.00299850074963,0.00349825087456,0.0,0.00149925037481,0.0,0.00449775112444,0.000499750124938,0.0,0.0,0.00299850074963,0.0,0.00349825087456,0.007996001999,0.0039980009995,0.0,0.00449775112444,0.0,0.0,0.00249875062469,0.0,0.00549725137431,0.0,0.00249875062469,0.0,0.0,0.00249875062469,0.00649675162419,0.0,0.0039980009995,0.0,0.0,0.00349825087456,0.0,0.0,0.0,0.0,0.0,0.00249875062469,0.00299850074963,0.000499750124938,0.000499750124938,0.0,0.0,0.00349825087456,0.0,0.000999500249875,0.0,0.00449775112444,0.000499750124938,0.00349825087456,0.00549725137431,0.0,0.00449775112444,0.0,0.0,0.00699650174913,0.00749625187406,0.000499750124938,0.0,0.000499750124938,0.0,0.0,0.00449775112444,0.0,0.000999500249875,0.0,0.00549725137431,0.0,0.00299850074963,0.00149925037481,0.000499750124938,0.00149925037481,0.0,0.00999500249875,0.00649675162419,0.000999500249875,0.00299850074963,0.00449775112444,0.0,0.0,0.00149925037481,0.00299850074963,0.0,0.00499750124938,0.00299850074963,0.0,0.0,0.00749625187406,0.000999500249875,0.000999500249875,0.0,0.0104947526237,0.000999500249875,0.0,0.00149925037481,0.0,0.00149925037481,0.00649675162419,0.000999500249875,0.0,0.0,0.000999500249875,0.00349825087456,0.0,0.0,0.000499750124938,0.00199900049975,0.00149925037481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549725137431,0.0,0.00949525237381,0.0,0.00499750124938,0.0,0.0039980009995,0.00249875062469,0.00249875062469,0.0,0.0,0.00549725137431,0.000999500249875,0.0,0.00299850074963,0.0,0.00249875062469,0.0,0.0,0.0,0.0,0.00949525237381,0.0,0.00299850074963,0.0,0.0,0.00199900049975,0.0,0.0,0.00249875062469,0.0,0.0109945027486,0.0,0.0
Gen 2
string_rot,integer_swap,exec_sho,string_frominteg,string_parse_to_cha,vector_string_fir,integer_gte,boolean_shove,boolean_and,vector_string_replacefirst,vector_string_sho,string_pop,exec_eq,string_parse_to_chars,integer_lt,string_stackdepth,exec_do*whi,boolean_rot,boolean_sw,integer_sho,boolean_invert_second_then_a,vector_string_s,vector_string_take,vector_string_remo,vector_string_last,string_yank,string_concat,string_re,exec_yankd,string_length,integer_eq,vector_string_,print_integ,vector_string_pop,exec_yankdup,string_repla,vector_string_stackdepth,exec_,integer_g,vector_string_rot,integer_mu,print_vector_stri,boolean_yankd,vector_string_re,string_empty,vector_string_concat,vector_string_yank,exec_flush,vector_string_conj,string_emptystri,vector_string_indexof,boolean_or,boolean_empty,vector_string_p,exec_wh,vector_string_shove,integer_yankd,exec_do*while,integer_rot,string_rest,vector_string_emptyvect,vector_string_butla,vector_string_butlast,boolean_,exec_stackdepth,exec_do*range,integer_emp,vector_string_reverse,vector_string_stackdep,boolean_sho,string_stackdep,vector_string_conc,vector_string_yankd,string_leng,exec_d,vector_string_rest,vector_string_replacefir,exec_shove,boolean_xor,boolean_yankdup,integer_min,string_emp,vector_string_emptyvector,exec_yank,print_integer,vector_string_empty,integer_fromboole,string_replace,integer_div,string_replacefirst,boolean_frominteger,string_butla,integer_flush,integer_,string_yankdup,print_exec,integer_yank,integer_fromstri,vector_string_eq,boolean_ya,string_swap,exec_when,exec_do*vector_string,vector_string_flu,integer_max,print_ex,vector_string_emp,string_contains,exec_dup,exec_k,vector_string_index,exec_noop,exec_p,exec_r,exec_s,string_emptystring,vector_string_la,exec_y,vector_string_pusha,vector_string_ya,vector_string_swap,boolean_a,integer_ya,exec_ya,string_spl,boolean_stackdep,integer_yankdup,vector_string_yankdup,string_fromboolean,boolean_d,print_newli,string_ta,vector_string_replace,vector_string_contai,exec_emp,string_substring,boolean_stackdepth,vector_string_occurrencesof,vector_string_nth,string_shove,exec_do*ran,vector_string_contains,vector_string_sw,integer_sw,exec_do*times,integer_shove,string_flush,exec_whi,exec_sw,vector_string_set,vector_string_subv,vector_string_length,exec_stackdep,integer_pop,boolean_not,boolean_flush,boolean_pop,string_butlast,exec_swap,string_replacefir,boolean_swap,vector_string_rever,integer_add,vector_string_remove,print_vector_string,print_newline,vector_string_first,boolean_r,string_d,string_dup,string_frominteger,string_contai,integer_mod,exec_do*count,string_r,string_p,vector_string_flush,integer_inc,boolean_invert_first_then_and,integer_fromstring,exec_rot,integer_m,print_stri,vector_string_pushall,exec_do*cou,string_take,string_split,string_eq,boolean_n,boolean_p,vector_string_subvec,exec_pop,boolean_emp,vector_string_n,exec_do*tim,print_string,boolean_invert_second_then_and,vector_string_d,integer_sub,exec_no,vector_string_leng,boolean_yank,vector_string_dup,vector_string_occurrences,string_reverse,string_ya,string_flu,integer_stackdepth,vector_string_ta,integer_dec,print_boole,integer_gt,exec,in1,integer_mult,boolean_dup,boolean_frominteg,string_sho,integer_lte,integer_a,exec_flu,boolean_eq,exec_if,print_boolean,integer_d,integer_flu,string_rever,exec_do*vector_stri,exec_empty,integer_l,integer_dup,integer_i,string_substri,integer_r,integer_s,integer_p,exec_while,integer_fromboolean,integer_empty,string_fromboole,boolean_flu
0.0,0.0056647784072,0.000666444518494,0.0,0.0,0.0,0.0,0.000666444518494,0.000999666777741,0.0,0.0,0.0,0.0,0.000333222259247,0.00766411196268,0.00733088970343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333222259247,0.000666444518494,0.0,0.000333222259247,0.0,0.000666444518494,0.00133288903699,0.0,0.0,0.000999666777741,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.00166611129623,0.0,0.0,0.0,0.0,0.0,0.0,0.000333222259247,0.00666444518494,0.0,0.0,0.0,0.00199933355548,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799733422193,0.0,0.0,0.000333222259247,0.0,0.000333222259247,0.0,0.00633122292569,0.000666444518494,0.0,0.0,0.0,0.00699766744419,0.0,0.0,0.000666444518494,0.0,0.000999666777741,0.0,0.000333222259247,0.0,0.000999666777741,0.0,0.0,0.00666444518494,0.00733088970343,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00599800066644,0.000333222259247,0.0,0.0,0.0,0.0,0.000999666777741,0.0,0.0,0.0,0.00666444518494,0.000999666777741,0.0,0.0,0.0,0.0,0.00699766744419,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.000333222259247,0.0,0.000666444518494,0.000333222259247,0.0,0.0,0.0,0.000999666777741,0.0,0.000999666777741,0.0,0.000666444518494,0.00733088970343,0.0,0.0,0.0,0.0,0.000333222259247,0.0,0.0,0.00599800066644,0.0,0.0,0.000999666777741,0.000333222259247,0.000666444518494,0.0,0.00166611129623,0.0,0.0,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333222259247,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000999666777741,0.0,0.0,0.0,0.00766411196268,0.0,0.00599800066644,0.0,0.0,0.000666444518494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799733422193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00699766744419,0.0,0.0
Gen 3
string_rot,integer_swap,exec_sho,string_frominteg,string_parse_to_cha,vector_string_fir,integer_gte,boolean_shove,boolean_and,vector_string_replacefirst,vector_string_sho,string_pop,exec_eq,string_parse_to_chars,integer_lt,string_stackdepth,exec_do*whi,boolean_rot,boolean_sw,integer_sho,boolean_invert_second_then_a,vector_string_s,vector_string_take,vector_string_remo,vector_string_last,string_yank,string_concat,string_re,exec_yankd,string_length,integer_eq,vector_string_,print_integ,vector_string_pop,exec_yankdup,string_repla,vector_string_stackdepth,exec_,integer_g,vector_string_rot,integer_mu,print_vector_stri,boolean_yankd,vector_string_re,string_empty,vector_string_concat,vector_string_yank,exec_flush,vector_string_conj,string_emptystri,vector_string_indexof,boolean_or,boolean_empty,vector_string_p,exec_wh,vector_string_shove,integer_yankd,exec_do*while,integer_rot,string_rest,vector_string_emptyvect,vector_string_butla,vector_string_butlast,boolean_,exec_stackdepth,exec_do*range,integer_emp,vector_string_reverse,vector_string_stackdep,boolean_sho,string_stackdep,vector_string_conc,vector_string_yankd,string_leng,exec_d,vector_string_rest,vector_string_replacefir,exec_shove,boolean_xor,boolean_yankdup,integer_min,string_emp,vector_string_emptyvector,exec_yank,print_integer,vector_string_empty,integer_fromboole,string_replace,integer_div,string_replacefirst,boolean_frominteger,string_butla,integer_flush,integer_,string_yankdup,print_exec,integer_yank,integer_fromstri,vector_string_eq,boolean_ya,string_swap,exec_when,exec_do*vector_string,vector_string_flu,integer_max,print_ex,vector_string_emp,string_contains,exec_dup,exec_k,vector_string_index,exec_noop,exec_p,exec_r,exec_s,string_emptystring,vector_string_la,exec_y,vector_string_pusha,vector_string_ya,vector_string_swap,boolean_a,integer_ya,exec_ya,string_spl,boolean_stackdep,integer_yankdup,vector_string_yankdup,string_fromboolean,boolean_d,print_newli,string_ta,vector_string_replace,vector_string_contai,exec_emp,string_substring,boolean_stackdepth,vector_string_occurrencesof,vector_string_nth,string_shove,exec_do*ran,vector_string_contains,vector_string_sw,integer_sw,exec_do*times,integer_shove,string_flush,exec_whi,exec_sw,vector_string_set,vector_string_subv,vector_string_length,exec_stackdep,integer_pop,boolean_not,boolean_flush,boolean_pop,string_butlast,exec_swap,string_replacefir,boolean_swap,vector_string_rever,integer_add,vector_string_remove,print_vector_string,print_newline,vector_string_first,boolean_r,string_d,string_dup,string_frominteger,string_contai,integer_mod,exec_do*count,string_r,string_p,vector_string_flush,integer_inc,boolean_invert_first_then_and,integer_fromstring,exec_rot,integer_m,print_stri,vector_string_pushall,exec_do*cou,string_take,string_split,string_eq,boolean_n,boolean_p,vector_string_subvec,exec_pop,boolean_emp,vector_string_n,exec_do*tim,print_string,boolean_invert_second_then_and,vector_string_d,integer_sub,exec_no,vector_string_leng,boolean_yank,vector_string_dup,vector_string_occurrences,string_reverse,string_ya,string_flu,integer_stackdepth,vector_string_ta,integer_dec,print_boole,integer_gt,exec,in1,integer_mult,boolean_dup,boolean_frominteg,string_sho,integer_lte,integer_a,exec_flu,boolean_eq,exec_if,print_boolean,integer_d,integer_flu,string_rever,exec_do*vector_stri,exec_empty,integer_l,integer_dup,integer_i,string_substri,integer_r,integer_s,integer_p,exec_while,integer_fromboolean,integer_empty,string_fromboole,boolean_flu
